id,url,title,author,publication_date,year,month,day,slug,category,word_count,character_count,extraction_metadata
2013-12-31-bootstrapping-a-decentralized-autonomous-corporation-part-3-identity-corp,https://blog.ethereum.org/2013/12/31/bootstrapping-a-decentralized-autonomous-corporation-part-3-identity-corp,"Bootstrapping a Decentralized Autonomous Corporation, Part 3: Identity Corp",Vitalik Buterin,"December 31, 2013",2013,12,31,bootstrapping-a-decentralized-autonomous-corporation-part-3-identity-corp,Non catégorisé,2922,21165,"{'extracted_at': '2025-06-11T04:52:33.735776', 'extraction_success': True, 'content_length': 21165}"
2013-12-31-bootstrapping-a-decentralized-autonomous-corporation-part-i,https://blog.ethereum.org/2013/12/31/bootstrapping-a-decentralized-autonomous-corporation-part-i,Bootstrapping A Decentralized Autonomous Corporation: Part I,Vitalik Buterin,"December 31, 2013",2013,12,31,bootstrapping-a-decentralized-autonomous-corporation-part-i,Non catégorisé,1909,11866,"{'extracted_at': '2025-06-11T04:52:35.033133', 'extraction_success': True, 'content_length': 11866}"
2013-12-31-bootstrapping-an-autonomous-decentralized-corporation-part-2-interacting-with-the-world,https://blog.ethereum.org/2013/12/31/bootstrapping-an-autonomous-decentralized-corporation-part-2-interacting-with-the-world,"Bootstrapping An Autonomous Decentralized Corporation, Part 2: Interacting With the World",Vitalik Buterin,"December 31, 2013",2013,12,31,bootstrapping-an-autonomous-decentralized-corporation-part-2-interacting-with-the-world,Non catégorisé,3056,18851,"{'extracted_at': '2025-06-11T04:52:36.312616', 'extraction_success': True, 'content_length': 18851}"
2014-01-15-slasher-a-punitive-proof-of-stake-algorithm,https://blog.ethereum.org/2014/01/15/slasher-a-punitive-proof-of-stake-algorithm,Slasher: A Punitive Proof-of-Stake Algorithm,Vitalik Buterin,"January 15, 2014",2014,01,15,slasher-a-punitive-proof-of-stake-algorithm,Non catégorisé,1485,8446,"{'extracted_at': '2025-06-11T04:52:37.426765', 'extraction_success': True, 'content_length': 8446}"
2014-01-23-ethereum-now-going-public,https://blog.ethereum.org/2014/01/23/ethereum-now-going-public,Ethereum: Now Going Public,Vitalik Buterin,"January 23, 2014",2014,01,23,ethereum-now-going-public,Non catégorisé,1839,12158,"{'extracted_at': '2025-06-11T04:52:38.661378', 'extraction_success': True, 'content_length': 12158}"
2014-01-29-conference-alpha-testnet-and-ether-pre-sale-updates,https://blog.ethereum.org/2014/01/29/conference-alpha-testnet-and-ether-pre-sale-updates,"Conference, Alpha Testnet and Ether Pre-sale Updates",Vitalik Buterin,"January 29, 2014",2014,01,29,conference-alpha-testnet-and-ether-pre-sale-updates,Non catégorisé,387,2371,"{'extracted_at': '2025-06-11T04:52:39.929546', 'extraction_success': True, 'content_length': 2371}"
2014-02-01-on-transaction-fees-and-the-fallacy-of-market-based-solutions,https://blog.ethereum.org/2014/02/01/on-transaction-fees-and-the-fallacy-of-market-based-solutions,"On Transaction Fees, And The Fallacy of Market-Based Solutions",Vitalik Buterin,"February 1, 2014",2014,02,01,on-transaction-fees-and-the-fallacy-of-market-based-solutions,Non catégorisé,2073,15469,"{'extracted_at': '2025-06-11T04:52:41.234192', 'extraction_success': True, 'content_length': 15469}"
2014-02-03-introducing-ethereum-script-2-0,https://blog.ethereum.org/2014/02/03/introducing-ethereum-script-2-0,Introducing Ethereum Script 2.0,Vitalik Buterin,"February 3, 2014",2014,02,03,introducing-ethereum-script-2-0,Non catégorisé,3309,19068,"{'extracted_at': '2025-06-11T04:52:42.514376', 'extraction_success': True, 'content_length': 19068}"
2014-02-05-more-thoughts-on-scripting-and-future-compatibility,https://blog.ethereum.org/2014/02/05/more-thoughts-on-scripting-and-future-compatibility,More Thoughts on Scripting and Future-Compatibility,Vitalik Buterin,"February 5, 2014",2014,02,05,more-thoughts-on-scripting-and-future-compatibility,Non catégorisé,1703,10067,"{'extracted_at': '2025-06-11T04:52:43.613194', 'extraction_success': True, 'content_length': 10067}"
2014-02-08-cryptographic-code-obfuscation-decentralized-autonomous-organizations-are-about-to-take-a-huge-leap-forward,https://blog.ethereum.org/2014/02/08/cryptographic-code-obfuscation-decentralized-autonomous-organizations-are-about-to-take-a-huge-leap-forward,Cryptographic Code Obfuscation: Decentralized Autonomous Organizations Are About to Take a Huge Leap Forward,Vitalik Buterin,"February 8, 2014",2014,02,08,cryptographic-code-obfuscation-decentralized-autonomous-organizations-are-about-to-take-a-huge-leap-forward,Non catégorisé,1911,11944,"{'extracted_at': '2025-06-11T04:52:44.917580', 'extraction_success': True, 'content_length': 11944}"
