word,frequency,relative_frequency,sts_category
thereum,5208,0.01337978234731942,—
as,4633,0.011902559833934498,—
block,1793,0.0046063651591289785,infrastructurel
network,1471,0.003779120551633423,infrastructurel
client,1467,0.0037688442211055275,infrastructurel
community,1316,0.0033809127436774875,gouvernance
contract,1237,0.0031779552157515595,—
eth,1176,0.003021241175201159,defi_finance
here,1150,0.002954445026769841,—
protocol,1108,0.0028465435562269425,protocolaire
blockchain,1083,0.0027823164904275982,infrastructurel
state,1082,0.0027797474077956245,—
proof,1019,0.0026178952019812766,sécurité
chain,999,0.002566513549341801,infrastructurel
code,981,0.002520270061966273,développement
evcon,978,0.002512562814070352,—
transaction,952,0.0024457666656390337,—
ethereum,924,0.0023738323519437677,protocolaire
security,873,0.0022428091377131054,sécurité
re,851,0.0021862893198096823,—
development,796,0.002044989775051125,développement
node,767,0.001970486378723885,infrastructurel
consensus,752,0.0019319501392442786,infrastructurel
no,731,0.0018779994039728294,—
ecosystem,730,0.0018754303213408556,—
et,720,0.0018497394950211178,—
clients,700,0.0017983578423816423,infrastructurel
layer,683,0.0017546834376380882,infrastructurel
value,674,0.0017315616939503242,defi_finance
nodes,670,0.0017212853634224292,infrastructurel
project,644,0.001654489214991111,—
contracts,636,0.0016339365539353207,—
ing,629,0.0016159529755115044,—
research,628,0.0016133838928795306,recherche
system,627,0.0016108148102475569,—
blocks,626,0.001608245727615583,—
transactions,624,0.0016031075623516354,—
based,615,0.0015799858186638714,—
itcoin,610,0.0015671404055040026,—
ll,606,0.0015568640749761076,—
people,601,0.0015440186618162386,—
ommunity,596,0.0015311732486563698,—
upgrade,595,0.001528604166024396,protocolaire
used,594,0.0015260350833924223,—
developers,591,0.0015183278354965008,—
decentralized,589,0.0015131896702325533,discours_vision
th,584,0.0015003442570726846,—
knowledge,569,0.0014618080175930778,sécurité
titre,567,0.0014566698523291303,—
nauteur,567,0.0014566698523291303,—
ndate,567,0.0014566698523291303,—
nurl,567,0.0014566698523291303,—
catégorisé,567,0.0014566698523291303,—
process,565,0.0014515316870651828,—
zero,558,0.0014335481086413663,sécurité
public,552,0.0014181336128495238,—
want,544,0.0013975809517937335,—
release,543,0.0013950118691617597,—
ve,541,0.0013898737038978122,—
different,534,0.0013718901254739957,—
working,531,0.0013641828775780745,—
teams,531,0.0013641828775780745,—
stake,524,0.001346199299154258,gouvernance
year,523,0.0013436302165222842,—
net,523,0.0013436302165222842,—
validators,516,0.0013256466380984677,gouvernance
applications,514,0.0013205084728345202,usages
changes,514,0.0013205084728345202,—
run,513,0.0013179393902025464,—
projects,510,0.0013102321423066252,—
post,510,0.0013102321423066252,—
user,510,0.0013102321423066252,usages
long,504,0.0012948176465147824,—
part,503,0.0012922485638828087,—
information,499,0.0012819722333549137,—
org,496,0.0012742649854589924,—
open,489,0.001256281407035176,discours_vision
possible,488,0.0012537123244032021,—
gas,486,0.0012485741591392546,defi_finance
world,482,0.0012382978286113594,—
key,481,0.0012357287459793856,—
program,478,0.0012280214980834644,—
including,469,0.0012048997543957004,—
hat,468,0.0012023306717637266,—
fork,468,0.0012023306717637266,protocolaire
end,466,0.001197192506499779,—
large,463,0.0011894852586038578,—
own,461,0.0011843470933399101,—
proofs,461,0.0011843470933399101,—
eecution,461,0.0011843470933399101,—
provide,460,0.0011817780107079364,—
full,460,0.0011817780107079364,—
problem,454,0.0011663635149160938,—
point,450,0.0011560871843881986,—
around,444,0.001140672688596356,—
order,437,0.0011226891101725396,—
case,436,0.0011201200275405658,—
create,436,0.0011201200275405658,—
help,435,0.001117550944908592,—
account,433,0.0011124127796446445,—
future,433,0.0011124127796446445,discours_vision
storage,427,0.0010969982838528018,—
implementation,426,0.001094429201220828,développement
educatio,417,0.001071307457533064,—
ru,412,0.0010584620443731953,—
ow,412,0.0010584620443731953,—
validator,410,0.0010533238791092477,gouvernance
core,401,0.0010302021354214837,—
ou,400,0.00102763305278951,—
smart,398,0.0010224948875255625,—
together,395,0.001014787639629641,—
ect,395,0.001014787639629641,—
mining,394,0.0010122185569976672,—
current,392,0.0010070803917337197,—
update,389,0.0009993731438377985,—
olidity,389,0.0009993731438377985,—
eample,388,0.0009968040612058247,—
level,385,0.0009890968133099032,—
source,383,0.0009839586480459557,—
hash,382,0.000981389565413982,—
mai,376,0.0009659750696221393,—
version,376,0.0009659750696221393,—
owever,375,0.0009634059869901656,—
eperience,366,0.0009402842433024016,—
co,364,0.000935146078038454,—
event,363,0.0009325769954064803,—
testnet,363,0.0009325769954064803,—
address,362,0.0009300079127745064,—
simply,361,0.0009274388301425327,—
important,353,0.0009068861690867425,—
oundation,351,0.0009017480038227949,—
better,349,0.0008966098385588474,—
everyone,349,0.0008966098385588474,—
https,345,0.0008863335080309523,—
